cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score
2011-2012,3810,One Bright Ray - Elmwood Campus,Alternative,6-Year Graduation Rate,Gender,Male,16,9,56.25
2011-2012,3810,One Bright Ray - Elmwood Campus,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,27,s,s
2011-2012,3810,One Bright Ray - Elmwood Campus,Alternative,6-Year Graduation Rate,IEP,IEP,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,All Students,All Students,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,ELL,Non-EL,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,Gender,Male,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,5-Year Graduation Rate,IEP,IEP,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,All Students,All Students,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,ELL,Non-EL,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,Gender,Male,1,s,s
2011-2012,3820,Achieve Academy East,Alternative,6-Year Graduation Rate,IEP,IEP,1,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,All Students,All Students,4,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,ELL,Non-EL,4,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,4,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,4,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,Gender,Female,1,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,Gender,Male,3,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,3,s,s
2011-2012,3840,Philadelphia OIC Workforce Academy,Alternative,6-Year Graduation Rate,IEP,IEP,1,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,All Students,All Students,8,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,ELL,Non-EL,8,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,5,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,3,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,5,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Gender,Female,5,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,Gender,Male,3,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,5,s,s
2011-2012,3850,Northeast High School EOP,Alternative,6-Year Graduation Rate,IEP,IEP,3,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,All Students,All Students,78,14,17.95
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,ELL,Non-EL,78,14,17.95
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,42,3,7.14
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,11,30.56
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Asian,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,74,13,17.57
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Gender,Female,32,8,25
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Gender,Male,46,6,13.04
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,66,13,19.7
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,IEP,IEP,12,1,8.33
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,All Students,All Students,45,14,31.11
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,ELL,Non-EL,45,14,31.11
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,17,2,11.76
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,12,42.86
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Asian,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,43,13,30.23
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Gender,Female,18,8,44.44
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Gender,Male,27,6,22.22
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,38,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,IEP,IEP,7,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,All Students,All Students,44,14,31.82
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,ELL,Non-EL,44,14,31.82
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,16,2,12.5
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,12,42.86
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Asian,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,42,13,30.95
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,1,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Gender,Female,18,8,44.44
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Gender,Male,26,6,23.08
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,37,s,s
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,IEP,IEP,7,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,All Students,All Students,126,25,19.84
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,ELL,EL,3,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,ELL,Non-EL,123,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,66,8,12.12
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,60,17,28.33
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Asian,13,2,15.38
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,85,20,23.53
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,10,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,White,16,2,12.5
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Gender,Female,70,18,25.71
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Gender,Male,56,7,12.5
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,111,23,20.72
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,IEP,IEP,15,2,13.33
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,All Students,All Students,174,52,29.89
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,ELL,EL,7,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,ELL,Non-EL,167,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,92,24,26.09
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,82,28,34.15
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Asian,24,7,29.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,115,35,30.43
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,13,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,White,20,6,30
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Gender,Female,82,33,40.24
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Gender,Male,92,19,20.65
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,150,46,30.67
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,IEP,IEP,24,6,25
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,All Students,All Students,184,63,34.24
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,ELL,EL,9,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,ELL,Non-EL,175,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,103,33,32.04
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,81,30,37.04
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Asian,24,13,54.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,123,40,32.52
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,12,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,White,23,6,26.09
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Gender,Female,88,35,39.77
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Gender,Male,96,28,29.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,155,55,35.48
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,IEP,IEP,29,8,27.59
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,All Students,All Students,228,113,49.56
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,ELL,EL,1,s,s
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,ELL,Non-EL,227,s,s
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,175,81,46.29
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,53,32,60.38
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,222,111,50
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,5,s,s
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Gender,Female,108,58,53.7
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Gender,Male,120,55,45.83
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,182,91,50
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,IEP,IEP,46,22,47.83
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,All Students,All Students,202,123,60.89
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,ELL,EL,2,s,s
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,ELL,Non-EL,200,s,s
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,148,89,60.14
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,54,34,62.96
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,195,120,61.54
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,5,s,s
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Gender,Female,97,63,64.95
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Gender,Male,105,60,57.14
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,161,97,60.25
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,IEP,IEP,41,26,63.41
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,All Students,All Students,196,125,63.78
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,ELL,EL,2,s,s
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,ELL,Non-EL,194,s,s
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,145,91,62.76
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,51,34,66.67
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,189,122,64.55
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,5,s,s
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Gender,Female,95,63,66.32
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Gender,Male,101,62,61.39
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,155,98,63.23
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,IEP,IEP,41,27,65.85
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,All Students,All Students,173,172,99.42
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,ELL,EL,10,10,100
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,ELL,Non-EL,163,162,99.39
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,84,83,98.81
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,89,89,100
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Asian,23,23,100
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Black/African American,125,124,99.2
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,5,s,s
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,White,4,s,s
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Gender,Female,82,82,100
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Gender,Male,91,90,98.9
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,IEP,Does Not Have IEP,163,162,99.39
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,IEP,IEP,10,10,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,All Students,All Students,172,172,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,ELL,EL,7,s,s
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,ELL,Non-EL,165,s,s
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,80,80,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,92,92,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Asian,23,23,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Black/African American,124,124,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,5,s,s
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,White,4,s,s
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Gender,Female,82,82,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Gender,Male,90,90,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,IEP,Does Not Have IEP,162,162,100
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,IEP,IEP,10,10,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,All Students,All Students,172,172,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,ELL,EL,10,10,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,ELL,Non-EL,162,162,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,82,82,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,90,90,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Asian,23,23,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Black/African American,124,124,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,5,s,s
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,White,4,s,s
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Gender,Female,82,82,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Gender,Male,90,90,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,IEP,Does Not Have IEP,162,162,100
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,IEP,IEP,10,10,100
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,All Students,All Students,134,114,85.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,ELL,EL,4,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,ELL,Non-EL,130,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,102,88,86.27
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,32,26,81.25
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,122,105,86.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Ethnicity,White,5,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Gender,Female,89,81,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Gender,Male,45,33,73.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,101,86,85.15
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,IEP,IEP,33,28,84.85
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,All Students,All Students,132,115,87.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,ELL,EL,4,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,ELL,Non-EL,128,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,96,86,89.58
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,29,80.56
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,120,106,88.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Ethnicity,White,5,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Gender,Female,89,81,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Gender,Male,43,34,79.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,99,87,87.88
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,IEP,IEP,33,28,84.85
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,All Students,All Students,132,115,87.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,ELL,EL,4,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,ELL,Non-EL,128,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,101,89,88.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,31,26,83.87
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,120,106,88.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Ethnicity,White,5,s,s
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Gender,Female,89,81,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Gender,Male,43,34,79.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,99,87,87.88
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,IEP,IEP,33,28,84.85
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,All Students,All Students,6,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,ELL,Non-EL,6,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,5,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,1,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,6,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,Gender,Female,1,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,Gender,Male,5,s,s
2011-2012,4110,Fitzsimons High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,6,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,All Students,All Students,6,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,ELL,Non-EL,6,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,4,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,2,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,6,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,Gender,Female,1,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,Gender,Male,5,s,s
2011-2012,4110,Fitzsimons High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,6,s,s
2011-2012,4110,Fitzsimons High School,District,6-Year Graduation Rate,All Students,All Students,6,s,s
2011-2012,4110,Fitzsimons High School,District,6-Year Graduation Rate,ELL,Non-EL,6,s,s
2011-2012,4110,Fitzsimons High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,5,s,s
